DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/09/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5000080;KINOPLEX AMAZONAS SALA 02;19;6000037;1991;2393;MANAUS;AM;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;313970662001220;09/10/2020 20:13:24
01/09/2020;A QUIET PLACE;UM LUGAR SILENCIOSO;E1800074200000;ESTADOS UNIDOS;5006618;DRIVE - GYN SERRA DOURADA 02;16;6000039;45898;46312;GOIÂNIA;GO;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;27.654.722/0001-16;30004041001020;09/10/2020 14:03:00
01/09/2020;ABOMINABLE;ABOMINÁVEL;E1900349400000;CHINA;5006571;CINESYSTEM AMÉRICAS DRIVE-IN;23;6000027;5348;28834;RIO DE JANEIRO;RJ;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;313970662001220;09/10/2020 20:13:24
01/09/2020;ALADDIN;ALADDIN;E1900188100000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;104;;5465;6715;BRASÍLIA;DF;THE WALT DISNEY COMPANY (BRASIL) LTDA.;73.042.962/0001-87;31284757000920;09/10/2020 20:12:17
01/09/2020;BLOODSHOT;BLOODSHOT;E1900579400000;ESTADOS UNIDOS;5004880;CIRCUITO CINEMAS PBAS- SALA 02;15;6000028;15568;27873;PARAUAPEBAS;PA;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;31006058001720;15/10/2020 14:01:55
01/09/2020;BLOODSHOT;BLOODSHOT;E1900579400000;ESTADOS UNIDOS;5002723;SALA CINE PLAYARTE MANAUARA 03;2;6000049;260;16356;MANAUS;AM;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;31006058001720;15/10/2020 14:01:55
01/09/2020;DESPICABLE ME 3;MEU MALVADO FAVORITO 3;E1500759400000;ESTADOS UNIDOS;5006580;CINESYSTEM MORUMBI TOWN DRIVE-IN;19;6000027;22546;34941;SÃO PAULO;SP;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;313970662001220;09/10/2020 20:13:24
01/09/2020;DOCTOR SLEEP;DOUTOR SONO;E1900463600000;ESTADOS UNIDOS;5002723;SALA CINE PLAYARTE MANAUARA 03;18;6000049;260;16356;MANAUS;AM;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;31000320001420;10/10/2020 02:01:58
01/09/2020;DOLITTLE;DOLITTLE;E1900437900000;ESTADOS UNIDOS;5002727;SALA CINE PLAYARTE MANAUARA 04;13;6000049;260;16356;MANAUS;AM;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;313970662001220;09/10/2020 20:13:24
01/09/2020;EL ROBO DEL SIGLO;O ROUBO DO SÉCULO;E2000030900000;ARGENTINA;5002102;CINE DRIVEIN;45;;5465;6715;BRASÍLIA;DF;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;31000320001420;10/10/2020 02:01:58
01/09/2020;EL ROBO DEL SIGLO;O ROUBO DO SÉCULO;E2000030900000;ARGENTINA;5005304;CINEFLIX VÁRZEA GRANDE SHOPPING - SALA 1;6;6000014;24534;31101;VÁRZEA GRANDE;MT;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;31000320001420;10/10/2020 02:01:58
01/09/2020;EL ROBO DEL SIGLO;O ROUBO DO SÉCULO;E2000030900000;ARGENTINA;5006580;CINESYSTEM MORUMBI TOWN DRIVE-IN;52;6000027;22546;34941;SÃO PAULO;SP;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;31000320001420;10/10/2020 02:01:58
