DATA_EXIBICAO,TITULO_BRASIL,PAIS_OBRA,PUBLICO,MUNICIPIO_SALA_COMPLEXO,UF_SALA_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA
01/09/2020,1917,ESTADOS UNIDOS,19,MANAUS,AM,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/09/2020,UM LUGAR SILENCIOSO,ESTADOS UNIDOS,16,GOIÂNIA,GO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA
01/09/2020,ABOMINÁVEL,CHINA,23,RIO DE JANEIRO,RJ,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/09/2020,ALADDIN,ESTADOS UNIDOS,104,BRASÍLIA,DF,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/09/2020,BLOODSHOT,ESTADOS UNIDOS,15,PARAUAPEBAS,PA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/09/2020,BLOODSHOT,ESTADOS UNIDOS,2,MANAUS,AM,COLUMBIA TRISTAR FILMES DO BRASIL LTDA
01/09/2020,MEU MALVADO FAVORITO 3,ESTADOS UNIDOS,19,SÃO PAULO,SP,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/09/2020,DOUTOR SONO,ESTADOS UNIDOS,18,MANAUS,AM,WARNER BROS. (SOUTH) INC.
01/09/2020,DOLITTLE,ESTADOS UNIDOS,13,MANAUS,AM,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/09/2020,O ROUBO DO SÉCULO,ARGENTINA,45,BRASÍLIA,DF,WARNER BROS. (SOUTH) INC.
01/09/2020,O ROUBO DO SÉCULO,ARGENTINA,6,VÁRZEA GRANDE,MT,WARNER BROS. (SOUTH) INC.
01/09/2020,O ROUBO DO SÉCULO,ARGENTINA,52,SÃO PAULO,SP,WARNER BROS. (SOUTH) INC.
01/09/2020,O ROUBO DO SÉCULO,ARGENTINA,15,NOVA LIMA,MG,WARNER BROS. (SOUTH) INC.
01/09/2020,O ROUBO DO SÉCULO,ARGENTINA,4,MANAUS,AM,WARNER BROS. (SOUTH) INC.
01/09/2020,O ROUBO DO SÉCULO,ARGENTINA,14,MANAUS,AM,WARNER BROS. (SOUTH) INC.
01/09/2020,O ROUBO DO SÉCULO,ARGENTINA,4,MANAUS,AM,WARNER BROS. (SOUTH) INC.
01/09/2020,CINQUENTA TONS DE LIBERDADE,ESTADOS UNIDOS,5,GOIÂNIA,GO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.
01/09/2020,FORD VS FERRARI,ESTADOS UNIDOS,4,CASTRO,PR,THE WALT DISNEY COMPANY (BRASIL) LTDA.
01/09/2020,MARIA E JOÃO - O CONTO DAS BRUXAS,ESTADOS UNIDOS,21,MANAUS,AM,WMIX DISTRIBUIDORA LTDA.
