UF,Mes,Media_Publico,Mediana_Publico,Moda_Publico,Max_Publico,Min_Publico,Total_Publico,Desvio_Padrao,Q1,Q3,IQR
AC,2014-01,110.23,62.0,0,824,0,12346,139.73120799971815,22.75,148.25,125.5
AL,2014-01,131.31,76.5,0,1804,0,60664,177.390229752562,29.25,158.75,129.5
AM,2014-01,158.79,123.0,0,886,0,157518,132.62548479576108,62.75,226.0,163.25
AP,2014-01,122.22,112.0,0,298,0,2811,97.48983934084391,55.0,181.5,126.5
BA,2014-01,121.9,71.0,0,874,0,271717,139.44869826286813,23.0,174.0,151.0
CE,2014-01,111.83,62.0,0,802,0,133413,126.17201710652661,24.0,158.0,134.0
DF,2014-01,140.5,99.0,0,974,0,314858,134.97751176322174,42.0,202.0,160.0
ES,2014-01,95.42,47.0,0,1000,0,135017,117.33584435009793,17.0,125.0,108.0
GO,2014-01,93.28,52.0,0,722,0,175927,107.77408984238016,18.0,127.0,109.0
MA,2014-01,111.31,77.0,0,797,0,45415,126.00305628032768,20.0,144.25,124.25
MG,2014-01,103.79,63.0,0,1613,0,556731,115.25072349322582,20.0,154.25,134.25
MS,2014-01,116.36,80.0,0,685,0,56783,112.04064094566913,34.0,175.0,141.0
MT,2014-01,104.01,65.0,0,792,0,102867,109.57141792071532,28.0,147.0,119.0
PA,2014-01,137.05,84.0,0,987,0,130613,153.93588088209222,28.0,189.0,161.0
PB,2014-01,121.85,75.5,0,733,0,77496,125.05563807074766,36.0,161.25,125.25
PE,2014-01,141.25,100.0,0,896,0,320922,137.43359630819873,41.0,198.0,157.0
PI,2014-01,113.98,81.0,0,588,0,17211,124.92912498419129,22.0,155.0,133.0
PR,2014-01,100.37,64.0,0,1006,0,480284,109.89103837549483,27.0,135.0,108.0
RJ,2014-01,140.8,88.0,0,1294,0,1230738,155.6819432088821,32.0,197.0,165.0
RN,2014-01,128.34,89.0,0,722,0,71616,123.36563814173806,39.25,183.75,144.5
RO,2014-01,90.25,47.0,0,753,0,32671,116.94753569921942,13.0,124.0,111.0
RR,2014-01,61.37,43.0,36,222,7,4112,46.011472818594136,30.0,79.0,49.0
RS,2014-01,96.92,62.0,0,2066,0,364515,113.36807140627984,19.0,137.0,118.0
SC,2014-01,96.74,57.0,0,1251,0,296327,118.11367025662223,23.0,130.0,107.0
SE,2014-01,146.44,116.5,0,741,0,54768,132.02012688340227,47.25,212.0,164.75
SP,2014-01,114.09,71.0,0,2562,0,2804885,130.788448254446,27.0,156.0,129.0
TO,2014-01,96.2,64.0,0,409,0,27514,88.66895336245841,26.0,141.75,115.75
AC,2014-02,92.95,47.0,0,531,0,8830,121.42560706667994,19.0,109.0,90.0
AL,2014-02,88.47,38.0,0,1239,0,42732,133.8820653119009,12.0,108.5,96.5
AM,2014-02,111.31,77.0,0,729,0,137246,111.41536313228377,32.0,158.0,126.0
BA,2014-02,112.08,52.0,0,1943,0,311801,156.83350623531032,16.0,145.0,129.0
CE,2014-02,87.99,37.0,0,1494,0,123100,137.37556965004111,12.0,103.5,91.5
DF,2014-02,106.53,66.0,0,1545,0,271447,127.85055838180975,21.0,143.0,122.0
ES,2014-02,62.57,29.0,0,805,0,87905,91.35527202409894,10.0,77.0,67.0
GO,2014-02,70.67,35.0,0,983,0,153705,100.72729005538086,13.0,84.0,71.0
MA,2014-02,84.71,52.0,0,586,0,54468,97.0299004551759,17.0,114.0,97.0
MG,2014-02,76.15,33.0,0,2095,0,406284,134.1418605706752,10.0,87.0,77.0
MS,2014-02,82.69,50.5,0,547,0,40849,92.88355174795512,20.0,104.5,84.5
MT,2014-02,94.62,57.0,0,799,0,107956,107.85211648548253,25.0,120.0,95.0
PA,2014-02,104.01,56.0,0,1878,0,127522,138.56242602781995,17.0,137.75,120.75
PB,2014-02,80.82,47.0,10,823,0,55036,96.48277852885187,21.0,100.0,79.0
PE,2014-02,92.44,45.0,0,1312,0,253742,126.09942115625313,13.0,120.0,107.0
PI,2014-02,117.06,64.0,0,854,0,25636,143.25799893306154,25.5,150.0,124.5
PR,2014-02,65.66,36.0,0,1100,0,404112,88.56789604010346,14.0,80.0,66.0
RJ,2014-02,104.79,54.0,0,1839,0,1084022,143.96394260215146,17.0,133.0,116.0
RN,2014-02,106.38,62.5,0,830,0,73826,126.1759753371865,25.0,136.75,111.75
RO,2014-02,86.36,42.0,0,637,0,32729,109.98100981976634,16.0,112.5,96.5
RR,2014-02,45.39,34.0,11,221,0,3177,44.04026249350581,17.0,56.25,39.25
RS,2014-02,84.43,50.0,0,889,0,365346,99.6233949954685,16.0,118.0,102.0
SC,2014-02,64.38,33.0,0,933,0,227769,84.02008078762881,10.0,83.0,73.0
SE,2014-02,111.6,70.0,0,656,0,59260,126.60671060114782,25.0,143.5,118.5
SP,2014-02,86.24,44.0,0,2533,0,2449221,119.83562588042452,15.0,107.0,92.0
TO,2014-02,76.64,50.0,0,517,0,27667,90.89446239084656,19.0,88.0,69.0
AC,2014-03,99.91,54.0,23,372,0,5495,96.8649829186219,24.5,158.0,133.5
AL,2014-03,100.3,54.0,0,1314,0,55669,130.3964348221601,21.0,137.0,116.0
AM,2014-03,156.46,102.0,0,1115,0,213880,165.92965729155594,41.5,215.0,173.5
AP,2014-03,25.29,20.0,2,47,2,177,15.913456420215415,16.5,37.5,21.0
BA,2014-03,140.6,66.0,0,1478,0,420805,182.38977189173266,19.0,189.0,170.0
CE,2014-03,130.03,67.0,0,1442,0,215460,173.83692607353726,21.0,169.0,148.0
DF,2014-03,129.09,81.0,0,1237,0,366098,140.7284064853557,30.0,178.0,148.0
ES,2014-03,73.55,31.0,0,907,0,123336,112.2031213013482,10.0,82.0,72.0
GO,2014-03,86.57,38.0,0,1003,0,231739,127.92661466570247,12.0,109.0,97.0
MA,2014-03,137.27,78.0,0,727,0,73850,156.85041004351132,26.0,195.75,169.75
MG,2014-03,89.01,39.0,0,2753,0,599124,142.2716153586054,12.0,110.0,98.0
MS,2014-03,90.94,46.5,0,792,0,62388,108.91842454076998,15.0,132.0,117.0
MT,2014-03,112.55,63.0,0,807,0,149804,134.15051984827525,22.0,150.0,128.0
PA,2014-03,118.18,61.0,0,1213,0,165104,154.768808893895,20.0,152.0,132.0
PB,2014-03,98.53,56.0,0,732,0,88775,118.24715392670022,22.0,123.0,101.0
PE,2014-03,119.38,65.0,0,1193,0,364580,144.10023527615354,23.0,163.75,140.75
PI,2014-03,128.9,57.0,0,927,0,32483,167.71670907026416,23.0,159.25,136.25
PR,2014-03,83.46,43.0,0,1168,0,562019,111.31648828248052,15.0,104.0,89.0
RJ,2014-03,127.87,64.0,0,1566,0,1438742,166.03742867404353,19.0,171.0,152.0
RN,2014-03,112.43,64.0,0,948,0,94438,136.32169161239082,28.0,142.25,114.25
RO,2014-03,88.2,34.0,0,786,0,49213,135.61241971296175,10.0,102.5,92.5
RR,2014-03,42.63,30.0,20,157,4,2430,35.458039376014256,17.0,58.0,41.0
RS,2014-03,82.99,41.0,0,775,0,431558,109.4418823520765,13.0,105.0,92.0
SC,2014-03,69.75,32.0,0,910,0,279080,100.04662792448451,9.0,85.0,76.0
SE,2014-03,139.64,89.0,0,819,0,83644,141.4447438714813,36.5,204.0,167.5
SP,2014-03,107.66,53.0,0,3311,0,3426964,142.55165465017836,17.0,140.0,123.0
TO,2014-03,107.81,67.0,0,807,0,36762,121.63950144256363,28.0,141.0,113.0
AC,2014-04,189.97,77.0,26,833,0,18427,213.3022334236216,31.0,289.0,258.0
AL,2014-04,116.67,54.0,0,1078,0,62766,162.59755860740006,13.0,147.25,134.25
AM,2014-04,200.35,155.0,0,1109,0,247429,181.61723954770872,59.0,291.0,232.0
AP,2014-04,41.71,29.0,14,77,14,292,23.85871109758646,26.5,59.5,33.0
BA,2014-04,151.54,77.0,0,1197,0,419465,190.35501744381747,19.0,205.25,186.25
CE,2014-04,128.35,59.5,0,1299,0,193815,168.72963430998203,14.25,170.0,155.75
DF,2014-04,149.76,94.0,0,1119,0,379792,161.53346296715475,33.0,214.0,181.0
ES,2014-04,106.99,40.0,0,1002,0,149150,155.35133041205697,12.0,135.0,123.0
GO,2014-04,110.93,56.0,0,1252,0,286641,141.88687270394965,18.0,144.0,126.0
MA,2014-04,181.77,117.0,0,815,0,84341,180.90655037486493,36.75,276.25,239.5
MG,2014-04,109.71,55.0,0,1282,0,692260,141.39477276375013,16.0,146.0,130.0
MS,2014-04,133.34,84.5,0,714,0,85339,132.1292229249945,34.0,200.75,166.75
MT,2014-04,150.43,92.0,0,1114,0,175098,170.7096989704043,33.0,199.0,166.0
PA,2014-04,172.21,113.0,0,1171,0,191148,184.3030768507962,39.0,251.0,212.0
PB,2014-04,119.61,78.0,0,911,0,95092,124.05557925116621,30.0,169.0,139.0
PE,2014-04,134.29,79.0,0,1231,0,375610,152.39498162567102,22.0,197.0,175.0
PI,2014-04,140.9,81.0,0,740,0,30857,162.27991150690713,29.0,188.5,159.5
PR,2014-04,112.49,65.0,0,1234,0,684388,136.85509433341238,23.0,146.0,123.0
RJ,2014-04,171.98,99.0,0,1555,0,1691118,197.33259826753326,29.0,249.0,220.0
RN,2014-04,149.76,92.0,0,1210,0,98244,172.15995093520957,33.0,210.0,177.0
RO,2014-04,100.88,49.5,0,898,0,66783,138.81146440873445,14.0,128.25,114.25
RR,2014-04,88.35,32.0,10,486,2,5743,117.3221301014368,11.0,107.0,96.0
RS,2014-04,104.25,55.0,0,905,0,477144,128.46905668056635,17.0,138.0,121.0
SC,2014-04,98.67,52.0,0,2506,0,351361,129.19150091034717,15.0,132.0,117.0
SE,2014-04,148.43,96.0,0,984,0,77034,155.27736449229377,38.5,208.5,170.0
SP,2014-04,142.59,82.0,0,2755,0,3927733,168.25262896189227,28.0,193.0,165.0
TO,2014-04,120.55,74.0,0,743,0,43036,132.2657394061868,32.0,156.0,124.0
AC,2014-05,113.4,39.0,0,909,0,6804,166.84705266516048,24.0,117.75,93.75
AL,2014-05,125.25,59.0,0,1601,0,58742,177.74721446100605,22.0,155.0,133.0
AM,2014-05,153.74,109.0,0,1013,0,161886,153.37719000119046,43.0,211.0,168.0
BA,2014-05,166.34,96.0,0,1404,0,399554,199.0152419130496,29.0,221.75,192.75
CE,2014-05,124.96,59.0,0,1515,0,187438,169.0868609203944,17.0,165.25,148.25
DF,2014-05,142.49,91.0,0,1359,0,382437,156.8570104498644,34.0,194.0,160.0
ES,2014-05,75.54,23.0,0,937,0,101145,129.40416762592673,9.0,80.0,71.0
GO,2014-05,90.68,40.0,0,1189,0,241569,131.04584165111993,12.0,110.25,98.25
MA,2014-05,110.22,51.0,0,685,0,58526,139.38616549156157,12.0,157.5,145.5
MG,2014-05,90.28,41.0,0,1171,0,577602,129.51542282890694,12.25,114.0,101.75
MS,2014-05,121.52,78.0,0,737,0,67929,123.31884216504056,34.0,168.0,134.0
MT,2014-05,121.18,79.0,0,969,0,128574,132.00424483081227,28.0,167.0,139.0
PA,2014-05,139.75,82.0,0,1525,0,163231,171.47963745073412,27.75,186.0,158.25
PB,2014-05,101.23,55.0,16,828,0,83517,120.05186640221343,27.0,131.0,104.0
PE,2014-05,127.13,74.0,0,1341,0,353180,148.50758423138305,25.0,174.75,149.75
PI,2014-05,135.48,70.5,10,821,0,37392,167.3108687396577,26.0,175.25,149.25
PR,2014-05,90.99,46.0,0,1287,0,556665,126.400515920132,17.0,109.0,92.0
RJ,2014-05,136.82,71.0,0,1606,0,1412426,175.4796400850094,22.0,182.0,160.0
RN,2014-05,121.44,65.5,0,1245,0,91083,152.2158766186796,24.0,153.75,129.75
RO,2014-05,99.35,51.0,0,846,0,50569,127.32670601209065,15.0,136.0,121.0
RR,2014-05,135.6,32.0,12,500,12,1356,183.46371121650552,23.5,234.25,210.75
RS,2014-05,89.78,44.0,0,988,0,393877,119.70958357511567,14.0,116.0,102.0
SC,2014-05,78.44,39.0,0,1204,0,289905,108.11350919019387,13.0,99.0,86.0
SE,2014-05,141.22,75.0,0,1575,0,77391,187.3619096239807,21.75,174.75,153.0
SP,2014-05,122.0,63.0,0,9711,0,3445199,169.6518548589694,22.0,156.0,134.0
TO,2014-05,100.35,48.0,0,852,0,37630,134.99331468229335,13.0,131.5,118.5
AC,2014-06,247.98,150.0,0,1053,0,13639,251.42346533798096,32.0,415.0,383.0
AL,2014-06,140.92,64.0,0,1052,0,90051,183.15770135278865,18.0,198.5,180.5
AM,2014-06,207.66,158.0,0,1020,0,246083,183.72427195462524,65.0,307.0,242.0
BA,2014-06,190.03,111.0,0,1339,0,440500,218.50226559151008,21.0,293.0,272.0
CE,2014-06,171.77,93.0,0,1425,0,264703,203.63571682953713,20.0,247.0,227.0
DF,2014-06,184.61,127.0,0,1193,0,463370,185.43965549799435,35.0,284.0,249.0
ES,2014-06,107.29,38.0,0,1004,0,154063,157.02501047374545,13.0,139.0,126.0
GO,2014-06,113.5,56.0,0,1272,0,298610,149.7080221955745,22.0,144.0,122.0
MA,2014-06,187.48,150.0,0,740,0,103113,174.9775069498946,31.25,291.0,259.75
MG,2014-06,139.89,68.0,0,1481,0,888019,172.67414702506156,19.0,201.0,182.0
MS,2014-06,159.57,114.0,0,825,0,97495,148.28542517873015,40.5,245.5,205.0
MT,2014-06,143.3,97.0,0,1062,0,171961,144.38714753380813,34.0,208.0,174.0
PA,2014-06,158.19,92.0,0,1280,0,170687,180.66214034358435,25.0,221.0,196.0
PB,2014-06,132.81,94.0,0,1035,0,116472,131.3277055615228,37.0,179.0,142.0
PE,2014-06,162.09,106.0,0,1406,0,414950,170.36106214476007,31.0,237.25,206.25
PI,2014-06,171.51,86.0,25,998,0,40819,225.8775804804113,35.0,184.5,149.5
PR,2014-06,130.62,74.0,0,1173,0,770143,152.8517613531326,23.0,183.25,160.25
RJ,2014-06,175.53,99.0,0,1948,0,1648543,204.62250995336225,27.0,254.0,227.0
RN,2014-06,151.04,82.5,0,1189,0,105426,173.59798244101455,28.0,210.5,182.5
RO,2014-06,107.1,50.0,0,934,0,59441,143.82878377608648,14.0,143.5,129.5
RR,2014-06,102.68,53.0,50,418,11,2875,101.86085409951949,28.75,152.0,123.25
RS,2014-06,125.17,62.0,0,1111,0,535106,158.35734780240654,18.0,168.5,150.5
SC,2014-06,106.83,54.0,0,1327,0,389810,135.98631452857515,18.0,143.0,125.0
