Mes,Media_Publico,Mediana_Publico,Moda_Publico,Max_Publico,Min_Publico,Total_Publico,Desvio_Padrao,Q1,Q3,IQR
2014-01,116.09,72.0,0.0,2562.0,0.0,7939739,130.99082756283573,26.0,160.0,134.0
2014-02,87.34,45.0,0.0,2533.0,0.0,6935388,121.56968747087376,15.0,110.0,95.0
2014-03,106.22,52.0,0.0,3311.0,0.0,9573617,142.7194247427272,17.0,138.0,121.0
2014-04,136.33,75.0,0.0,2755.0,0.0,10910106,164.64909117911017,24.0,186.0,162.0
2014-05,116.02,58.0,0.0,9711.0,0.0,9365627,157.2690574013164,19.0,150.0,131.0
2014-06,154.98,87.0,0.0,1948.0,0.0,12182232,181.46862513274226,25.0,220.0,195.0
2014-07,117.96,70.0,0.0,3454.0,0.0,11886345,136.20872362553965,24.0,165.0,141.0
2014-08,112.02,60.0,0.0,1943.0,0.0,9372575,141.23927051625728,19.0,148.0,129.0
2014-09,99.01,54.0,0.0,3167.0,0.0,7879708,126.44672204002514,19.0,129.0,110.0
2014-10,94.07,44.0,0.0,2068.0,0.0,7980883,142.87529012935855,14.0,113.0,99.0
2014-11,109.14,52.0,0.0,2326.0,0.0,8176136,148.20064039072545,12.0,146.0,134.0
2014-12,106.8,60.0,0.0,4059.0,0.0,8506688,140.86425881184846,16.0,148.0,132.0
2015-01,122.5,79.0,0.0,2290.0,0.0,11785419,132.81397540428512,32.0,168.0,136.0
2015-02,136.85,71.0,0.0,5332.0,0.0,13845712,178.832898710679,23.0,182.0,159.0
2015-03,88.54,44.0,0.0,2271.0,0.0,9387090,125.64502514036911,15.0,111.0,96.0
2015-04,177.26,91.0,0.0,4415.0,0.0,18456839,221.7590620619168,28.0,246.0,218.0
2015-05,114.31,59.0,0.0,2098.0,0.0,11148168,153.45213595937938,20.0,144.0,124.0
2015-06,127.08,65.0,0.0,1836.0,0.0,13168890,164.35838351140805,23.0,164.0,141.0
2015-07,154.66,95.0,23.0,4253.0,0.0,17844893,170.36663762677614,38.0,210.0,172.0
2015-08,87.27,48.0,6.0,2645.0,0.0,9136140,112.61677652571274,19.0,110.0,91.0
2015-09,75.0,39.0,4.0,1781.0,0.0,7971785,100.26743389690044,15.0,92.0,77.0
2015-10,87.25,47.0,6.0,1367.0,0.0,9129944,111.49116509586993,19.0,110.0,91.0
2015-11,93.68,49.0,6.0,2091.0,0.0,9902948,122.58470350474178,18.0,118.0,100.0
2015-12,106.36,55.0,12.0,1995.0,0.0,11095644,144.00394856696795,22.0,131.0,109.0
2016-01,128.49,80.0,14.0,3324.0,1.0,13504181,148.51701127410527,33.0,171.0,138.0
2016-02,120.3,58.0,11.0,2621.0,1.0,11704833,169.58387572911383,22.0,144.0,122.0
2016-03,104.94,52.0,6.0,1851.0,1.0,13782405,144.26345869746612,20.0,127.0,107.0
2016-04,108.31,53.0,6.0,2804.0,1.0,13006977,152.63748778451293,20.0,132.0,112.0
2016-05,119.96,62.0,6.0,1862.0,1.0,16037948,152.85805622558155,22.0,158.0,136.0
2016-06,112.33,64.0,8.0,1896.0,1.0,14185580,133.53680072619608,24.0,149.0,125.0
2016-07,150.85,92.0,16.0,1951.0,1.0,19446535,166.7023826641067,37.0,204.0,167.0
2016-08,101.27,49.0,6.0,2492.0,1.0,13391739,142.1941471176471,19.0,123.0,104.0
2016-09,75.68,40.0,4.0,1832.0,1.0,8823878,102.54838439664387,17.0,92.0,75.0
2016-10,75.94,42.0,4.0,1370.0,1.0,8910416,95.27277650398669,17.0,97.0,80.0
2016-11,101.77,55.0,4.0,1843.0,1.0,11421907,133.0817605640518,21.0,128.0,107.0
2016-12,86.07,51.0,8.0,1660.0,1.0,9801413,100.67175351365923,21.0,114.0,93.0
2017-01,118.86,74.0,12.0,2071.0,1.0,13833455,131.66327693535402,31.0,157.0,126.0
2017-02,97.14,55.0,10.0,3807.0,1.0,12427972,124.88789567731514,22.0,124.0,102.0
2017-03,131.82,69.0,8.0,3739.0,1.0,17904041,169.70481692324725,24.0,171.0,147.0
2017-04,134.64,75.0,8.0,1545.0,1.0,20076591,160.77211529008795,28.0,179.0,151.0
2017-05,87.72,48.0,4.0,2199.0,1.0,11754043,112.0756120879438,18.0,112.0,94.0
2017-06,110.82,64.0,6.0,1406.0,1.0,12899946,130.61179973929862,23.0,148.0,125.0
2017-07,154.58,95.0,12.0,1941.0,1.0,20998658,169.0878092367914,37.0,212.0,175.0
2017-08,75.54,41.0,2.0,1504.0,1.0,9527630,96.63612548352783,16.0,96.0,80.0
2017-09,81.85,42.0,8.0,1430.0,1.0,8976094,108.88272410051161,17.0,101.0,84.0
2017-10,70.95,34.0,2.0,1583.0,1.0,9378575,101.78921603050718,13.0,84.0,71.0
2017-11,107.31,51.0,2.0,1976.0,1.0,12426567,152.65874634555593,19.0,130.0,111.0
2017-12,107.23,62.0,8.0,1688.0,1.0,12859098,126.06100884779015,24.0,144.0,120.0
2018-01,112.13,70.0,11.0,1312.0,1.0,14965844,120.10770566931741,29.0,154.0,125.0
2018-02,97.42,51.0,6.0,1698.0,1.0,12906157,127.75606567965859,19.0,125.0,106.0
2018-03,66.48,37.0,6.0,1286.0,1.0,8616196,83.60832139137632,15.0,84.0,69.0
2018-04,91.8,34.0,2.0,1943.0,1.0,10414982,162.89747677497738,13.0,89.0,76.0
2018-05,115.23,58.0,2.0,1633.0,1.0,14997944,153.34162853927603,20.0,147.0,127.0
2018-06,73.74,37.0,2.0,1447.0,1.0,8915890,97.82364605077792,14.0,94.0,80.0
2018-07,134.26,80.0,12.0,1572.0,1.0,19810116,150.75693221695443,30.0,185.0,155.0
2018-08,60.6,34.0,4.0,1259.0,1.0,8343934,74.96676218561622,14.0,77.0,63.0
2018-09,81.93,40.0,4.0,1756.0,1.0,9668516,119.18742907187853,15.0,98.0,83.0
2018-10,74.18,38.0,4.0,4325.0,1.0,9342879,101.39234470633232,14.0,92.0,78.0
2018-11,77.16,42.0,8.0,2670.0,1.0,10162909,100.04320946069318,17.0,96.0,79.0
2018-12,88.12,44.0,8.0,2790.0,1.0,10618570,114.71155425042335,17.0,112.0,95.0
2019-01,113.91,70.0,8.0,2913.0,1.0,15932914,129.6009134068035,28.0,153.0,125.0
2019-02,50.34,28.0,6.0,3028.0,1.0,6294465,73.65314341073743,12.0,61.0,49.0
2019-03,103.14,54.0,2.0,1783.0,1.0,13112276,135.14479253551383,21.0,130.0,109.0
2019-04,129.8,56.0,2.0,2034.0,1.0,15971956,189.9616786976951,21.0,150.0,129.0
2019-05,127.34,68.0,4.0,1910.0,1.0,16613865,160.041271657411,24.0,168.0,144.0
2019-06,102.08,52.0,8.0,1766.0,1.0,14730152,133.3217375598722,20.0,128.0,108.0
2019-07,168.02,96.0,11.0,2013.0,1.0,24712843,195.47403477874153,34.0,229.0,195.0
2019-08,77.82,42.0,4.0,1443.0,1.0,9430581,100.28517861966769,16.0,99.0,83.0
2019-09,57.68,33.0,2.0,937.0,1.0,6593827,69.69862708573511,13.0,75.0,62.0
2019-10,102.77,54.0,4.0,1409.0,1.0,14586067,131.5506947867436,19.0,134.0,115.0
