UF,Recuperacao,Media_Publico_pre,Media_Publico,Desvio_Padrao,IQR,Recuperacao_encoded,Prob_Sim,Prob_Nao
SC,Sim,77.25291666666666,31.505,40.113972629018015,31.818181818181817,1,0.9964395078723706,0.003560492127629507
TO,Não,75.90055555555556,36.14352941176471,42.43843515586306,39.64705882352941,0,0.9900691847199952,0.009930815280004756
AP,Sim,80.07388059701492,41.47277777777778,43.20542000018827,43.43055555555556,1,0.9814906619718532,0.01850933802814685
GO,Não,83.07027777777778,33.50181818181818,41.454074211828974,34.89772727272727,0,0.8066384177431576,0.193361582256842
ES,Não,79.04583333333333,38.90842105263158,50.12880321748492,41.93421052631579,0,6.568578330884421e-05,0.9999343142166912
MG,Não,87.91972222222222,32.92409090909091,41.94468662611992,33.88636363636363,0,1.57523559410094e-07,0.9999998424764405
RS,Não,86.4125,27.143333333333334,35.79839983890893,26.635416666666668,0,2.633660553259697e-08,0.9999999736633945
PB,Não,90.44055555555556,35.59722222222222,43.50517158830656,36.291666666666664,0,1.0565947536861528e-13,0.9999999999998943
PR,Não,90.86375,32.68608695652174,42.00147001979683,33.16304347826087,0,1.598750987937145e-14,0.999999999999984
MA,Não,92.8126388888889,34.47238095238095,42.40620209495133,37.26190476190476,0,3.4425559642996083e-20,1.0
RO,Não,91.53027777777778,37.02318181818182,52.19213326173451,35.51136363636363,0,1.297195911553016e-26,1.0
PA,Não,104.80611111111111,34.674090909090914,44.866898825361545,36.30681818181818,0,4.860758577583034e-74,1.0
SE,Não,106.78736111111111,39.45055555555555,45.96814899275464,42.15277777777778,0,6.0648432201438e-87,1.0
RR,Sim,92.30652777777777,60.24444444444445,67.5611725098156,60.06944444444444,1,2.730400553441027e-87,1.0
MT,Não,108.63458333333332,40.04190476190476,47.71147416893059,40.44047619047619,0,2.8056756779535724e-100,1.0
AL,Não,97.31527777777778,50.84583333333333,69.73709047215141,49.979166666666664,0,9.481056271817358e-111,1.0
CE,Não,107.16652777777777,42.17526315789473,59.196829929242995,44.98684210526316,0,4.4299480443016054e-116,1.0
SP,Não,111.62111111111112,47.13708333333333,55.42158140730522,38.864583333333336,0,1.42702916109162e-135,1.0
BA,Não,114.51847222222221,34.4685,45.928650306908196,37.9,0,1.5229762409735094e-140,1.0
PE,Não,112.97541666666666,46.92722222222223,54.07072466889717,49.02777777777778,0,3.8526035014321365e-143,1.0
RN,Não,113.11347222222223,45.78473684210526,54.12503509693361,48.38157894736842,0,5.102452138669037e-144,1.0
PI,Não,112.39972222222222,51.554117647058824,57.53282694857767,56.61764705882353,0,4.749080956420392e-150,1.0
MS,Não,120.54541666666667,42.32105263157895,46.35833076303763,45.69736842105263,0,6.946922562721862e-193,1.0
AM,Não,121.05749999999999,52.868235294117646,63.57758637973139,54.205882352941174,0,2.0326834109759773e-242,1.0
RJ,Não,123.74638888888889,43.98772727272728,57.88827753774038,45.09090909090909,0,2.348067800394236e-245,1.0
DF,Não,124.62958333333333,69.39041666666667,64.11362940431907,58.114583333333336,0,2.919241758863609e-286,1.0
AC,Não,168.70819444444444,82.645,86.07231555642203,79.671875,0,0.0,1.0
