UF_SALA_COMPLEXO,TITULO_BRASIL,PUBLICO
AP,DIVERTIDA MENTE 2,71027
AP,AVATAR: O CAMINHO DA ÁGUA,44002
AP,SUPER MARIO BROS. - O FILME,36522
AP,DOUTOR ESTRANHO NO MULTIVERSO DA LOUCURA,36411
AP,BARBIE,35796
GO,DIVERTIDA MENTE 2,687625
GO,AVATAR: O CAMINHO DA ÁGUA,394657
GO,BARBIE,304589
GO,MOANA 2,269404
GO,DOUTOR ESTRANHO NO MULTIVERSO DA LOUCURA,255176
SC,DIVERTIDA MENTE 2,895618
SC,AVATAR: O CAMINHO DA ÁGUA,507546
SC,BARBIE,468306
SC,MINIONS 2: A ORIGEM DE GRU,364937
SC,MEU MALVADO FAVORITO 4,358912
TO,DIVERTIDA MENTE 2,77705
TO,AVATAR: O CAMINHO DA ÁGUA,53688
TO,MOANA 2,37809
TO,BARBIE,35365
TO,DOUTOR ESTRANHO NO MULTIVERSO DA LOUCURA,32816
